primaryie,secondaryies,tertiaryies
Exemption clauses,"unfair contract terms, as, [10.045], [10.046]",
Exemption clauses,validity and enforceability,"['dependent on overcoming hurdles, [9.010], [9.011]']"
"Exemption clauses incorporated into contract, [9.012]","incorporation by notice, [9.027]","['clause must be contained in contract, [9.028]–[9.032]', 'receipt or docket, whether contract, [9.028]']"
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"amendment methods, [2.035]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"checks and balances, [2.023]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"customs recognised as law, [2.073]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"framework, [2.015]–[2.032]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"fundamental liberties, [2.036], [2.037]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"Islam as religion of Federation, [2.022], [2.066]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"Islam not defined as law in Constitution, [2.066]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"Islam’s special status under Constitution, [2.067]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"judicial independence, [2.030]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"laws limited by, [2.034]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"legal system framework, [2.033]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"legislative and executive powers, division, [2.017]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"Malayan Constitution as origin of, [2.015]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"overview, [2.015], [2.033]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"separation of powers, [2.024]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"source of law, [2.033]–[2.037]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"supreme law of the land, as, [2.022], [2.034]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"Westminster style, [2.018], [2.023]",
Federal Constitution. See also Federation of Malaysia; Legal system in Malaysia,"written constitution, [2.018]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"constitutional monarchy, [2.020]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,courts. See Court system,
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"executive government, [2.025]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"federal government, [2.016]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"Islam as religion of, [2.022]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"Majlis Raja-Raja (Conference of Rulers), [2.021]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,Parliament. See Parliament,
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"separation of powers, [2.024]","['challenge to, [2.028]']"
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"tripartite legislative body, [2.019]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,"Westminster style, [2.018]",
Federation of Malaysia. See also Federal Constitution; Legal system in Malaysia,Yang Di-Pertuan Agong,"['election, [2.021]', 'Head of Islam (own State, Penang and Melaka), [2.022]', 'Head of State, [2.020]', 'part of tripartite legislative body, [2.019]', 'powers and restrictions, [2.020]']"
Financial Services Act 2013,"banking law, [22.002], [22.003]",
Financial Services Act 2013,"insurance practices’ requirement of interest, [23.040]–[23.043]",
Financial Services Act 2013,"misrepresentation, [23.080]–[23.082]",
Formation of contract,acceptance. See Acceptance,
Formation of contract,"information request, [4.020]–[4.022]",
Formation of contract,invitation to treat. See Invitation to treat,
Formation of contract,"overview, [4.001]–[4.013], [4.123]–[4.127]",
Formation of contract,proposal. See Proposal,
Formation of contract,reform,"['necessity, [4.124]', 'reason, [4.125]']"
Formation of contract,sale of goods. See Sale of goods,
Fraud,"act or connivance, [11.017], [11.019]",
Goods,"consumer goods contracts, [3.059]",
Goods,"definition, [21.003]–[21.010]",
Goods,"insurances, [23.026]–[23.030]","['case example, [23.027]–[23.029]']"
Goods,sale of. See Sale of goods,
Homosexuality,law and morality,"['Malaysia, [1.044]', 'UK legalisation, [1.038]–[1.040]']"
Incorporation,"application, [19.034], [19.035]",
Incorporation,"company as separate legal entity, [19.039]–[19.042]",
Incorporation,"company name, reservation, [19.033]",
Incorporation,"effects, [19.038]",
Incorporation,"piercing the corporate veil, [19.043]–[19.045]",
Incorporation,"registration, [19.036]","['notice as conclusive evidence, [19.037]']"
Incorporation,"veil, lifting, [19.043]–[19.045], [19.044]",
Indemnity,contribution. See Contribution,
Indemnity,"principle, [23.117]–[23.119]",
Indemnity,subrogation. See Subrogation,
Industry,"Code of Conduct for Industrial Harmony 1975, [16.068], [16.074]–[16.080]",
Injunctions,"cause of action, not, [13.045]",
Injunctions,"conditions precedent, [13.043]",
Injunctions,"equitable principles, [13.044]",
Injunctions,"overview, [13.041], [13.042]",
Injunctions,"refusal, [13.046]","['case examples, [13.047], [13.048]', 'delay not always disentitling, [13.048]']"
"Innocent misrepresentation, [11.046]","Contracts Act 1950 s 18, under, [11.045]",
Insurable interest,definition,"['interest current not expected, [23.010]–[23.013]', 'legal recognition of insurable interest, [23.014]–[23.016]', 'pecuniary valuation capability, [23.009]', 'what constitutes, [23.003]–[23.008]']"
Insurable interest,"insurance practices’ time for requiring interest, [23.028]","['Financial Services Act 2013, requirement under, [23.040]–[23.043]', 'life insurance, [23.032]–[23.034]', 'marine insurance, [23.035]–[23.037]', 'position in Malaysia, [23.038]–[23.043]']"
Insurable interest,"insurances for property and other goods, [23.026]–[23.030]","['case example, [23.027]–[23.029]']"
Insurable interest,"law development, [23.017]",
Insurable interest,"Life Assurance Act 1774, [23.024], [23.025]",
Insurable interest,"Marine Insurance Act 1745, [23.018]",
Insurable interest,"Marine Insurance Act 1906, [23.019]–[23.023]",
Insurable interest,"overview, [23.046]–[23.048]",
Insurable interest,"policy without interest, effect, [23.044], [23.045]",
Insurable interest,"requirements, [23.001], [23.002]",
Insurance,"contract of utmost good faith, as, [23.049]–[23.051]",
Insurance,doctrine of proximate cause. See Insurance and doctrine of proximate cause,
Insurance,"insurer’s breach of utmost good faith, [23.083]–[23.102]","['case example, [23.088], [23.090], [23.094], [23.095]', 'case laws, [23.086]', 'consumer-friendly laws, [23.101]', 'inducement, [23.097]–[23.099]', 'objective test of reasonableness, [23.087]–[23.089], [23.093], [23.102]', 'onerous burden, [23.091], [23.092]', 'prudent insurer, [23.093]', 'substantive law, [23.085]']"
Insurance,misrepresentation. See Misrepresentation in insurance,
Insurance,"Muslims, unacceptability to. See Insurance form unacceptable to Muslims",
Insurance,takaful. See Takaful,
Insurance,"utmost good faith, [23.103], [23.104]",
Insurance and doctrine of proximate cause,"approach, [23.109]",
Insurance and doctrine of proximate cause,"chain of events, [23.110]–[23.114]",
Insurance and doctrine of proximate cause,"overview, [23.105], [23.115], [23.116]",
Insurance and doctrine of proximate cause,"perils, definition, [23.106]–[23.108]",
Insurance and doctrine of proximate cause,"takaful, [24.050]–[24.052]","['operator not liable for uncovered/excluded peril, [24.053]–[24.054]']"
Insurance form unacceptable to Muslims,"gharar (danger or uncertainty), [24.003], [24.004]",
Insurance form unacceptable to Muslims,"maisir (gambling), [24.005], [24.006]",
Insurance form unacceptable to Muslims,"riba (usury or interest), [24.007]",
Intention to create legal relationship,"businesses, agreement between, [7.006]",
Intention to create legal relationship,capacity. See Capacity,
Intention to create legal relationship,"closely proximate relationship, [7.010]",
Intention to create legal relationship,"commercial agreements, [7.022]–[7.034]","['case example (UK), [7.026], [7.027]', 'industry, relevance, [7.031]']"
"Invitation to treat, [4.023]–[4.027]","common categories, [4.028]","['advertisements, [4.029]–[4.032]', 'auctions, [4.033]–[4.036]', 'options, [4.039]–[4.042]', 'tenders, [4.037], [4.038]']"
"Invitation to treat, [4.023]–[4.027]","definition, [4.024]","['Contracts Act 1950 not providing, [4.023]']"
"Invitation to treat, [4.023]–[4.027]","presumption and challenge, [4.026]","['case example, [4.027]']"
"Invitation to treat, [4.023]–[4.027]","reasons for making, [4.025]",
"Invitation to treat, [4.023]–[4.027]","statement as, [4.019], [4.024]",
Islamic Financial Services Act 2013,"permissible takaful interest, [24.013]–[24.017]",
Islamic law,"application in Malaysian legal system, [2.066]–[2.072]","['administration of Islam, [2.068]', 'conflicts between civil and Islamic law, [2.071]', 'Islam not defined as law in Constitution, [2.066]', 'Islam’s special status under Constitution, [2.067]', 'Shariah courts, [2.069], [2.070]']"
Islamic law,insurance. See Takaful,
Islamic law,"morality and law intertwined, [1.052]",
Islamic law,"overview, [2.066]–[2.072]",
Islamic law,"Yang Di-Pertuan Agong as Head of Islam (own State, Penang and Melaka), [2.022]",
Judges,"duty to act fairly, [2.060]",
Judges,"principal functions, [2.050]",
Judicial decisions,"certainty and fairness, [2.060], [2.061]",
Judicial decisions,"common law tradition in Malaysia, [2.049], [2.057]",
Judicial decisions,"hierarchy of court decisions, [2.058]","['lower courts’ attempts to depart from higher courts’ decisions, [2.059]']"
Judicial decisions,"judges’ principal functions, [2.050]",
Judicial decisions,"like cases treated alike, [2.051]",
Judicial decisions,"precedent doctrine, [2.051]","['application, [2.056]–[2.058]', 'certainty and fairness, [2.060], [2.061]', 'obiter dicta, [2.053]', '\nratio decidendi\n', 'requirements for effective function, [2.052]', 'binding nature, [2.053], [2.056]', 'determination difficulty, [2.055]', 'judges not indicating what constitutes, [2.054]']"
Judicial decisions,"sources of law, as, [2.049]–[2.062]",
Judicial decisions,"traditional view, [2.062]",
"Justice and law, [1.055]–[1.061]","Aristotle, [1.057]",
"Justice and law, [1.055]–[1.061]","corrective justice, [1.057], [1.060]",
"Justice and law, [1.055]–[1.061]","distributive justice, [1.057]","['law’s achievement of, problems, [1.058]', 'substantive law illustration of application, [1.059]']"
"Justice and law, [1.055]–[1.061]","justice, origins of concepts, [1.057]",
"Justice and law, [1.055]–[1.061]","legal system and social order, [1.056]",
"Justice and law, [1.055]–[1.061]","relationship, [1.055]",
"Justice and law, [1.055]–[1.061]","social context, [1.060]",
"“Last in, first out” (LIFO) principle, [16.081], [16.082]","departure from principle, [16.083]","['different category or grade, [16.089]', 'foreign employees, [16.090], [16.091]', 'poor performance, [16.084]–[16.086]', 'special skills of junior over senior employees, [16.087], [16.088]']"
Law,"customary law, [2.073]–[2.075]",
Law,"definition difficulties, [1.001], [1.034]",
Law,"English law applied in Malaysia, [2.063]–[2.065]",
Law,"evolving nature, [1.004]",
Law,"fundamental themes, [1.004], [1.005]",
Law,"Islamic law and its application in legal system, [2.066]–[2.072]",
Law,"justice and, [1.055]–[1.061]",
Law,"morality and, [1.035]–[1.054]",
Law,natural. See Natural law,
Law,"operation not in vacuum, [1.005]",
Law,"rules, distinguished, [1.006]–[1.008]",
Law,"social theory and, [1.062]–[1.065]",
Law,sources. See Sources of law,
Law,"variation of notions of, [1.002]",
Law,"viewpoints, various, [1.003]",
Law,"what constitutes, [1.001]–[1.003], [1.034], [1.066]",
Law of agency,"agency relationship, [14.005], [14.006]","['contracts, [14.007]', 'Latin maxim, [14.008]']"
Law of agency,"agent, definition, [14.005]",
Law of agency,"agent’s duties to principal, [14.037]",
Law of agency,authority of agent,"['breach, [14.040]', 'scope, [14.034], [14.036]', 'case example, [14.035]']"
Law of agency,"creation of agency, [14.016], [14.017]","['estoppel, [14.032], [14.033]', 'express appointment, [14.018]', 'implied appointment, [14.019]–[14.021]', 'necessity, [14.029]', 'ratification, [14.022]–[14.028]', 'authority in emergency, [14.031]', 'case example, [14.030]', 'criteria, [14.029]']"
Law of agency,"English law in Malaysia, influence, [14.002]–[14.004]","['Civil Law Act 1956 (Mal) ss 3 and 5, [14.002], [14.004]', 'cut-off dates, [14.003]']"
Law of agency,"estate agency, [14.041]",
Law of agency,"governing law, [14.001]",
Law of agency,"principal, definition, [14.005]",
Law of agency,"principal or agent, becoming","['case example, [14.014]', 'provisions, [14.011]–[14.013]']"
Law of agency,"principal’s duties to agent, [14.038]",
Law of agency,"privity of contract and, [14.009], [14.010]",
Law of agency,"termination of agency, [14.039]",
Law of agency,"types of agents, [14.015]",
Law personnel,"English legal system features retained in Malaysian system, [2.076]",
Law personnel,"governing bodies, [2.086]",
"Legal positivism, [1.027]–[1.034]","analytical positivism, [1.028]",
"Legal positivism, [1.027]–[1.034]","Austin, John, [1.028], [1.029]","['law, definition, [1.029]', 'criminal law, [1.030]', 'criticism, [1.031], [1.032]']"
Legal relationship,creation intention. See Intention to create legal relationship,
Legal relationship,"legal recognition of relationship, [7.003]","['agreement void without, [7.004]']"
Legal relationship,"meaning, [7.002]",
Legal system(s),"overview, [2.001], [2.002]",
Legal system in Malaysia,"British legacy, [2.003]",
Legal system in Malaysia,common law. See Common law,
Legal system in Malaysia,Constitution. See Federal Constitution,
Legal system in Malaysia,courts. See Court system,
Legal system in Malaysia,"English legal system features retained, [2.076]",
Legal system in Malaysia,federal government. See Federation of Malaysia,
Legal system in Malaysia,"framework established by Constitution, [2.033]",
Legal system in Malaysia,"history, [2.003], [2.014]","['adat (customary) law, [2.004]', 'amalgamation of Malay States and Straits Settlements, [2.011]', 'British attitudes and policies mingling, [2.009]', 'British rule, [2.006], [2.010]', 'English law application to settlements, [2.007]', 'Federation of Malaya creation, [2.011]', 'Malaysia, formation, [2.013]', 'Sultanate of Malacca, [2.005]', 'complications, [2.008]', 'independence, movement towards, [2.012]']"
Legal system in Malaysia,"Islamic law and its application, [2.066]–[2.072]",
Legal system in Malaysia,"overview, [2.003]–[2.014], [2.032], [2.088]",
Legislation,"complexity and volume, [2.040]",
Legislation,"executive law making, [2.046]",
Legislation,"legislative authority in Malaysia, [2.038]",
Legislation,Parliament. See Parliament,
Legislation,"source of law, as, [2.038]–[2.048]",
Legislation,"statutory provisions, interpretation, [2.042]","['English court precedent, [2.044]', 'judicial approaches, [2.047], [2.048]', '“rules”, [2.044], [2.045]', 'statutes, [2.043]']"
Legislation,"Westminster model, [2.038]",
Life insurance,"insurance practices’ time for requiring interest, [23.032]–[23.034]",
Limited liability partnership. See also Business,"accounts and other records, [20.019]",
Limited liability partnership. See also Business,"advantages and disadvantages, [20.006]",
Limited liability partnership. See also Business,"agreement, [20.010], [20.011]",
Limited liability partnership. See also Business,"annual declaration, [20.018]",
Limited liability partnership. See also Business,"Companies Commission of Malaysia, [20.014]",
Limited liability partnership. See also Business,"compliance officer, [20.015]–[20.017]",
Limited liability partnership. See also Business,"conversion into, [20.023]–[20.032]",
Limited liability partnership. See also Business,"essentials, [20.004], [20.005]",
Limited liability partnership. See also Business,"formation, [20.007]",
Limited liability partnership. See also Business,"overview, [20.001]–[20.003]",
Limited liability partnership. See also Business,partners,"['liability, [20.020]–[20.022]', 'relationship between, [20.009]']"
Limited liability partnership. See also Business,"professional practice, [20.008]",
Limited liability partnership. See also Business,"registration, [20.012]–[20.014]",
Limited liability partnership. See also Business,"winding-up and dissolution, [20.033]–[20.035]",
"Litigation, [2.076]–[2.088]","English legal system features retained in Malaysian system, [2.076]",
Marine insurance,"insurance practices’ time for requiring interest, [23.035]–[23.037]",
Marine insurance,"Marine Insurance Act 1745, [23.018]",
Marine insurance,"Marine Insurance Act 1906, [23.019]–[23.023]",
Mental disorder,"capacity to contract of persons of unsound mind, [7.045]","['caution, critical thought and evaluation, [7.048]', 'sound mind, [7.045]–[7.047]', 'unsound mind contracting during lucidity, [7.049], [7.050]']"
Mental disorder,"revocation of proposal due to proposer’s mental disorder, [4.109]",
Minimum retirement age,"aged nation status of Malaysia, [16.166]",
Minimum retirement age,"Employee Provident Fund’s 2011 statistics, [16.167]",
Minimum retirement age,increase,"['benefits, [16.166]', 'Malaysian Trades Union Congress, [16.165]']"
Minimum retirement age,"Minimum Retirement Age Act 2012, [16.163]","['before enactment, [16.162]', 'inapplicability, [16.168]', 'retirement, definition, [16.164]']"
Minimum retirement age,"Minister of Human Resources, [16.178]",
Minimum retirement age,"optional retirement, [16.177]",
Minimum retirement age,"premature retirement, complaint of, [16.172]–[16.175]",
Minimum retirement age,"retirement age clause, [16.169]",
Minors,"capacity to contract, [7.037], [7.041]","['adults contracting with, [7.038]', 'case example, [7.039]', 'determination of minority, [7.040]', 'employment contracts, [7.0425], [7.043]', 'exceptions to inability to contract, [7.042]', 'legal protection, [7.038]', 'scholarship contracts, [7.044]']"
Misconduct,"definition, [16.092]",
Misconduct,"termination of employment contract for, [16.053]–[16.054], [16.092]–[16.096]","['breach of employee’s express/implied obligations to employer, [16.092]', 'domestic inquiry, [16.097]–[16.100]', 'employer disciplining employee, [16.095]', 'Industrial Court commentary, [16.093], [16.096]', 'natural justice, [16.097], [16.101], [16.109], [16.113]–[16.116]', 'sources of misconduct, [16.094]', 'types of misconduct, [16.093]', 'position under Employment Act 1955, [16.101]–[16.116]']"
Misrepresentation,"defeating case, [11.048]",
Misrepresentation,exception to exemption clauses incorporated into contract by signature,"['case example, [9.022]', 'fraudulent misrepresentation, [9.020]', 'judicial comment, [9.021]']"
Misrepresentation,"innocent, [11.046]","['Contracts Act 1950 s 18, under, [11.045]', 'types of, [11.049]–[11.052]']"
Misrepresentation,insurance. See Misrepresentation in insurance,
Misrepresentation,"ordinary diligence and, [11.038], [11.041]","['case examples, [11.042], [11.043]', 'extraordinary diligence, [11.044]', 'judicial commentary, [11.039], [11.040]']"
Misrepresentation,"overview, [11.036], [11.037], [23.052]",
Misrepresentation,"proof of, [11.045]–[11.048]","['inducement and materiality of false statement, [11.047]']"
Misrepresentation,"what constitutes, [11.037]",
Misrepresentation in insurance,"influencing judgment of prudent underwriters, [23.063]–[23.072]",
"Mistake, [11.053], [11.054]","consensus ad idem absent, [11.057]",
"Mistake, [11.053], [11.054]","error in judgment/opinion, distinguished, [11.058]",
"Mistake, [11.053], [11.054]","innocent misrepresentation, [11.052]",
"Mistake, [11.053], [11.054]","law, as to, [11.059], [11.061]","['case example, [11.060]']"
"Mistake, [11.053], [11.054]","mistake caused by one party is no mistake, [11.062]",
"Mistake, [11.053], [11.054]","proof of, [11.055]–[11.058]","['operative mistake, [11.055]', 'pattern, [11.056]']"
Morality and law,"abortion, [1.041], [1.045]",
Morality and law,"business ethics, [1.053]",
Morality and law,"cases exemplifying debate between private morality and state intervention (US), [1.041]",
Morality and law,"convergence/divergence of values, [1.035]",
Morality and law,"corporate affairs, [1.054]",
Morality and law,Devlin,"['Hart’s opposition, [1.048]–[1.050]', 'private morality outside law disputed, [1.047]', 'social disintegration, [1.046]']"
Morality and law,"harm principle, [1.037]",
Morality and law,"Hart’s opposition of Devlin, [1.048]–[1.050]",
Morality and law,"homosexual conduct legalisation (UK), [1.038]–[1.040]",
Morality and law,"homosexuality (Malaysia), [1.044]",
Morality and law,"Islamic law, [1.052]",
Morality and law,"legal enforcement of moral values, [1.036], [1.046]",
Morality and law,"liberal utilitarianism, [1.037]",
Morality and law,"Malaysia, [1.051]","['abortion, [1.045]', 'corporate affairs, [1.054]', 'ethical conduct in business, [1.053]', 'homosexuality, [1.044]', 'Islamic law, [1.052]']"
Morality and law,"Mill, JS, [1.037]",
Morality and law,"personal privacy, [1.041], [1.042]",
Morality and law,"relationship, [1.035]",
Morality and law,"societal mores, variation, [1.043]",
Morality and law,"societal value changes prompting legal changes (UK), [1.040]",
Morality and law,"United Kingdom, [1.038]–[1.040]",
Morality and law,"United States, [1.041]",
Morality and law,"Wolfenden Committee, [1.038], [1.039]",
Murder,"natural law, [1.014]",
"Natural justice, [16.097], [16.101], [16.109], [16.113]–[16.116]","conventional justice, distinguished, [1.011]",
"Natural law, [1.009]–[1.026]","Aquinas, Thomas, [1.015]",
"Natural law, [1.009]–[1.026]","“crimes against humanity”, [1.024]",
"Natural law, [1.009]–[1.026]","decline, [1.023]",
"Natural law, [1.009]–[1.026]","definition by Cicero, [1.013]",
"Natural law, [1.009]–[1.026]","development as legal concept and philosophy, [1.017]",
"Natural law, [1.009]–[1.026]","God and, [1.013]",
"Natural law, [1.009]–[1.026]","higher universal law and laws of man, [1.025]",
"Natural law, [1.009]–[1.026]","international justice and human rights, [1.026]",
"Natural law, [1.009]–[1.026]",legal positivism. See Legal positivism,
"Natural law, [1.009]–[1.026]","Locke, [1.019]",
"Natural law, [1.009]–[1.026]","main assertion of proponents, [1.010]",
"Natural law, [1.009]–[1.026]","meaning, evolution, [1.009]",
"Natural law, [1.009]–[1.026]","Montesquieu, [1.020]",
"Natural law, [1.009]–[1.026]","murder, [1.014]",
"Natural law, [1.009]–[1.026]","natural and conventional justice, distinguished, [1.011]",
Negligence,"defences, [15.114]","['contributory negligence, [15.115]–[15.120]', 'ex turpi causa non oritur actio, [15.121]–[15.123]', 'illegality, [15.121]–[15.123]', 'case example, [15.122]', 'voluntary assumption of risk, [15.124]–[15.131]']"
Negligence,"definition, [15.005]",
Negligence,"Donoghue v Stevenson, [15.006], [15.008]",
Negligence,duty of care. See Duty of care,
Negligence,"elements, [15.005]–[15.008]",
Negligence,"English law, [15.006]",
Negligence,"establishing, [15.007]",
Negligence,"history, [15.006]",
Negligence,"unfairness of contract term excluding liability, [10.045]",
Notice,"proposal revocation, [4.091]–[4.101]",
Options,"invitations to treat, as, [4.039]",
Options,"Low Kar Yit v Mohamed Isa, [4.040]–[4.042]",
Oral contracts,"acceptance case example, [4.057]","['evidence, importance, [4.058]']"
Oral contracts,"evidence of, sufficiency, [3.010]",
Oral contracts,"example, [3.010]","['Bonanza case, [3.011]']"
Oral contracts,issue resolution steps. See Oral/partly oral contract term issue resolution steps,
Oral contracts,"making contracts orally, [3.005], [3.010], [3.011]",
Oral contracts,"overview, [8.035]–[8.037]",
Oral contracts,partly oral and partly written contracts. See Partly oral and partly written contracts,
"Oral/partly oral contract term issue resolution steps, [8.036], [8.057]","categorisation of terms, [8.053], [8.057]","['conditions and warranties, [8.054]–[8.058]', 'express terms, [8.082]', 'implied terms, [8.083]–[8.087]', 'breach remedies, [8.066]–[8.068]', 'condition breach, [8.059]–[8.061]', 'distinguishing between, [8.069]–[8.081]', 'warranty breach, [8.062]–[8.065]', 'terms implied by court, [8.094]–[8.105]', 'terms implied by statute, [8.088]–[8.093]']"
"Oral/partly oral contract term issue resolution steps, [8.036], [8.057]","determination of nature of statement, [8.038]","['puffery, [8.039], [8.040]', '“term” or “representation”, [8.041]–[8.046]', '“term” or “representation” – factors to determine intention', 'binding or non-binding nature, [8.042]', 'intention, [8.043]–[8.046]', 'special knowledge and relative skill factor, [8.050]–[8.052]']"
Parliament,"bicameral, [2.019]",
Parliament,"Dewan Negara, [2.019], [2.039]",
Parliament,"Dewan Rakyat, [2.019], [2.039]",
Parliament,"first meeting of first session, [2.039]",
Parliament,"parliamentary supremacy nonapplication, [2.034]",
Parliament,"power to make laws, [2.041]",
Parliament,"statutory provisions, [2.042]",
Parliament,"tripartite legislative body, part of, [2.019]",
Parol evidence rule,"common law, in, [8.006]–[8.010]","['entire agreement clause, [8.009]', 'exceptions, [8.010]', 'extrinsic evidence, [8.006]', 'oral evidence, [8.006]', 'parol evidence “presumption”, [8.007]', 'strict adherence slowly changing, [8.008]']"
Parol evidence rule,"definition, [8.006]",
Parol evidence rule,"Evidence Act 1950 s 92 exceptions, [8.019]","['ambiguities, [8.034]', 'conditions precedent, [8.028]', 'invalidity of documents, [8.020]', 'separate oral agreement (collateral agreement), [8.021], [8.024]', 'subsequent oral agreement, [8.029]', 'usage or custom, [8.031], [8.033]', 'case examples, [8.031], [8.032]', 'case examples, [8.022], [8.023], [8.026], [8.027]', 'inconsistency with main written agreement, [8.024], [8.027]', 'prevailing, [8.025]', 'case examples, [8.030]']"
Parol evidence rule,"Malaysia, in, [8.011]–[8.018]","['case examples, [8.014]–[8.016]', 'codification, [8.011]', 'Evidence Act 1950 s 92', 'restrictions, [8.017], [8.018]', 'statutory provisions, [8.012]', 'exceptions, [8.019]–[8.034]', 'interpretation, [8.013]']"
Partly oral and partly written contracts,issue resolution steps. See Oral/partly oral contract term issue resolution steps,
Partly oral and partly written contracts,"overview, [8.035]–[8.037]",
Partnership. See also Business,"advantages and disadvantages, [18.013]",
Partnership. See also Business,"definition, [18.006]",
Partnership. See also Business,"dissolution or termination, [18.033]","['authority of partners after dissolution, [18.036], [18.037]', 'notice of dissolution, [18.034], [18.035]']"
Partnership. See also Business,"fundamentals, [18.007]–[18.011]",
Partnership. See also Business,"legal persona, [18.012]",
Partnership. See also Business,limited liability. See Limited liability partnership,
Partnership. See also Business,"partner’s share, transfer and assignment of, [18.025]","['assignee, [18.025]']"
Partnership. See also Business,partners,"['duties, [18.016]', 'outsiders, [18.017]–[18.020]', 'relationship between, [18.014]–[18.016]']"
Partnership. See also Business,"partners’ liability, [18.026]","['holding out as partner, from, [18.031], [18.032]', 'new partner, [18.027]', 'retired partner, [18.028]–[18.030]']"
Partnership. See also Business,"partnership agreement, [18.014]–[18.016]",
Partnership. See also Business,"property, [18.021]–[18.024]",
Partnership. See also Business,"registration procedure, [18.039]–[18.042]",
Past consideration,"common law, [5.031]",
Personal injury,"Tribunal of Consumer Claims’ lack of jurisdiction, [10.045], [10.047]",
"Pre-incorporation contracts, [19.026]","position in UK and Malaysia, [19.027]–[19.030]",
"Precedent doctrine, [2.051]","application, [2.056]–[2.058]",
"Precedent doctrine, [2.051]","certainty and fairness, [2.060], [2.061]",
"Precedent doctrine, [2.051]","obiter dicta, [2.053]",
"Precedent doctrine, [2.051]",ratio decidendi,"['binding nature, [2.053], [2.056]', 'determination difficulty, [2.055]', 'judges not indicating what constitutes, [2.054]']"
"Precedent doctrine, [2.051]","requirements for effective function, [2.052]",
Privacy,"morality and law, [1.041], [1.042]",
Privity of contract,"agency and, [14.009], [14.010]",
Probationer,"claims against dismissal without just cause or excuse, [16.161]",
Probationer,"judicial commentary, [16.152], [16.153], [16.159], [16.160]",
Probationer,"meaning, [16.151]",
Probationer,"rights, [16.154], [16.155]",
Probationer,"service continued, [16.134], [16.135]",
Probationer,"status, [16.158]",
Probationer,"suitability, [16.159]",
Probationer,"termination of service, [16.160]",
Probationer,"warning, [16.158]",
Procedural unfairness,"CPA 1999, [10.025]","['decision on unfairness, making, [10.029], [10.030]']"
Procedural unfairness,"negotiation stage, unfairness during, [10.026]",
Procedural unfairness,"substantive unfairness, resulting in, [10.027]",
Procedural unfairness,"substantive unfairness and, under CPA 1999, [10.025]","['Law Commission of India’s report, [10.025], [10.028]']"
Promissory estoppel. See also Consideration,Australia,"['1980s arrival and early use, [6.024]', 'landmark judicial decision, [6.025], [6.028]', 'parties’ pre-existing contractual relationship requirement obviated, [6.027]', '“shield” not “sword” requirement overturned, [6.026]']"
Promissory estoppel. See also Consideration,England,"['consideration, importance, [6.018]', 'later liberal approach, [6.019], [6.020]–[6.021]', 'promissory estoppel requirements, [6.022], [6.023]', 'tradition and reluctance, [6.018]']"
Promissory estoppel. See also Consideration,"evolution and usefulness, [6.047], [6.048]",
Promissory estoppel. See also Consideration,"High Trees case, [6.005]–[6.009]",
Promissory estoppel. See also Consideration,"limitations, [6.010]","['party’s contractual rights suspended, [6.016]', 'pre-existing contractual relationship required, [6.013]', 'representation or promise', 'requirement obviated, [6.027], [6.032]–[6.033]']"
"Promoters, [19.015], [19.016]","disclosure of interest, [19.018]","['remedies for non-disclosure, [19.019]', 'damages, [19.025]', 'recovery of profit, [19.023], [19.024]', 'rescission of contract, [19.020]–[19.022]']"
"Promoters, [19.015], [19.016]","fiduciary duties, [19.017]",
Property,"insurances, [23.026]–[23.030]","['case example, [23.027]–[23.029]']"
Proposal,"communication of, [4.046]–[4.051]","['acceptance motive, [4.051]', 'case example, [4.049]', 'effect, [4.048]', 'knowledge of proposee required, [4.047], [4.050]', 'means of communication, [4.046]']"
